project_id,name,latitude,longitude,commodity,source_province,stage,controller_1,share_1,origin_1,controller_2,share_2,origin_2,controller_3,share_3,origin_3,spatial_province,province_code,province_match
189,Libanesa,-47.80952,-66.78605,Oro,Santa Cruz,Exploración inicial,Mirasol Resources Ltda.,1,Canadá,,,,,,,Santa Cruz,78,TRUE
190,Limeca,-23.685,-66.343,Zinc,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
191,Lindero,-25.09772,-67.75905,Oro,Salta,Producción,Fortuna Mining Corp.,1,Canadá,-,-,-,-,-,-,Salta,66,TRUE
192,Lipetren,-41.93041667,-69.76333333,Litio,Río Negro,Prospección,Condor Prospecting S.A.,,,,,,,,,Río Negro,62,TRUE
193,"Litio Gold I, Ii Y Iii",-25.364331,-66.625364,Litio,Catamarca,Prospección,Franklin Mining,1,Estados Unidos,,,,,,,Catamarca,10,TRUE
194,Lonco Vaca - Palenque,-40.229,-69.212,Plata,Río Negro,Prospección,Southern Copper Corp.,1,Estados Unidos,,,,,,,Río Negro,62,TRUE
195,Los Azules,-31.08139,-70.16865,Cobre,San Juan,Factibilidad,McEwen Inc.,0.463,Canadá,Stellantis,0.182,Países Bajos,Otros,0.355,-,San Juan,70,TRUE
196,Los Cardones,-25.936,-66.177,Cobre,Salta,Exploración inicial,Humboldt Minerals Ltd.,1,Reino Unido,,,,,,,Salta,66,TRUE
197,Los Colorados,-24.832,-66.912,Cobre,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
198,Los Sapitos,-28.851896,-69.144894,Litio,San Juan,Exploración inicial,Origen Resources Inc.,1,Canadá,-,-,-,-,-,-,San Juan,70,TRUE
199,Lucho,-40.597,-66.232,Plata,Río Negro,Prospección,Valcheta Exploraciones,1,Argentina,,,,,,,Río Negro,62,TRUE
200,Lucho U,-40.51,-66.252,Uranio,Río Negro,Prospección,Lucero Claudio Guillermo-Unipersonal,1,Argentina,,,,,,,Río Negro,62,TRUE
201,Lucrecita,-24.275,-66.067,Cobre,Salta,Prospección,,,,,,,,,,Salta,66,TRUE
202,Lunahuasi,-28.4196,-69.6226,Cobre,San Juan,Exploración inicial,NGEx Minerals Ltd.,1,Canadá,,,,,,,San Juan,70,TRUE
203,Manantial Espejo (Cose),-48.76667,-69.5,Plata,Santa Cruz,Cese de operaciones,Pan American Silver Corp,1,Canadá,-,-,-,-,-,-,Santa Cruz,78,TRUE
204,Manantiales,-31.16414,-69.69253,Oro,San Juan,Exploración inicial,Austral Gold Limited,1,Australia,-,-,-,-,-,-,San Juan,70,TRUE
205,Maquinchao,-41.282,-68.653,Plata,Río Negro,Exploración inicial,Golden Arrow Resources Corp.,1,Canadá,,,,,,,Río Negro,62,TRUE
206,Mara,-27.376,-66.283,Cobre,Catamarca,Factibilidad,Glencore Plc.,1,Suiza,,,,,,,Catamarca,10,TRUE
207,Marcelo,-24.306,-67.32,Cobre,Salta,Exploración avanzada,,,,,,,,,,Salta,66,TRUE
208,Margarita (Zorriquin),-25.966,-65.666,Cobre,Salta,Prospección,"Cardero Resource Corp,",1,Canadá,,,,,,,Salta,66,TRUE
209,Maria Elena (Azul Las Coyas),-25.933,-65.709,Cobre,Salta,Prospección,"Cardero Resource Corp,",1,Canadá,,,,,,,Salta,66,TRUE
210,Mariana,-24.81373,-68.30736,Litio,Salta,Producción,Ganfeng Lithium Co. Ltd.,1,China,,,,-,,-,Salta,66,TRUE
211,Martín Bronce,-24.40305,-64.49939,Cobre,Jujuy,Producción,MOM Mining SRL,1,Argentina,,,,,,,Jujuy,38,TRUE
212,Matacillas,-23.925,-66.269,Plomo,Salta,Prospección,,,,,,,,,,Salta,66,TRUE
213,Menucos,-41.031,-67.939,Plata,Río Negro,Prospección,,,,,,,,,,Río Negro,62,TRUE
214,Meseta Central,-43.41,-68.69,Uranio,Chubut,Exploración avanzada,UrAmérica Ltd.,1,Reino Unido,-,-,-,-,-,-,Chubut,26,TRUE
215,Meseta Sirven (Laguna Sirve),-46.8810783,-69.0676926,Uranio,Santa Cruz,Exploración inicial,CNEA,,Argentina,Fomicruz S.E,,,,,,Santa Cruz,78,TRUE
216,Michelle,-48.34265,-68.50223,Oro,Santa Cruz,Exploración avanzada,AngloGold Ashanti plc,1,Sudáfrica,,,,,,,Santa Cruz,78,TRUE
217,Milagro,-24.46,-66.197,Hierro,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
218,Mina Beatriz,-26.16018,-67.42908,Litio,Catamarca,Exploración avanzada,Carachi Pampa Lithium Limited Partnership,1,Canadá,,,,,,,Catamarca,10,TRUE
219,Mina Catalina Ii,-22.58405189,-66.34787963,Oro,Jujuy,Producción,Espíritu de los Andes S.A.,1,Argentina,,,,,,,Jujuy,38,TRUE
220,Mina Martha,-48.69393,-69.69886,Plata,Santa Cruz,Reingeniería,Patagonia Gold,0.95,Canadá,Fomicruz,0.05,Argentina,-,-,-,Santa Cruz,78,TRUE
221,Mina Sisifo - Mina Patilla,-24.23533,-67.51665,Litio,Salta,Exploración avanzada,Power Minerals Ltda.,1,Australia,-,-,-,-,-,-,Salta,66,TRUE
222,Minas Futuro,-26.8494,-67.796351,Cobre,Catamarca,Exploración inicial,Southern Copper Corp.,1,Estados Unidos,,,,,,,Catamarca,10,TRUE
223,Mogotes (Filo Sur),-28.605,-69.626667,Cobre,San Juan,Exploración avanzada,Mogotes Metals Inc.,1,Canadá,,,,,,,San Juan,70,TRUE
224,Mosquito,-48.04962,-66.74309,Oro,Santa Cruz,Exploración avanzada,Hochschild Mining plc,1,Reino Unido,,,,,,,Santa Cruz,78,TRUE
225,Navidad,-42.415,-68.82,Plata,Chubut,Evaluación Económica Preliminar,Pan American Silver Corp,1,Canadá,-,-,-,-,-,-,Chubut,26,TRUE
226,Negra Muerta,-24.211,-66.2,Cobre,Salta,Prospección,,,,,,,,,,Salta,66,TRUE
227,Nivaldo,-28.396383,-69.5568777,Cobre,La Rioja,Exploración inicial,Minera Pedernales,1,Argentina,,,,,,,La Rioja,46,TRUE
228,Olaroz,-23.45,-66.7,Litio,Jujuy,Producción,Rio Tinto Group,0.67,Reino Unido,Toyota Tsusho,0.25,Japón,Jujuy Energía y Minería,0.09,Argentina,Jujuy,38,TRUE
229,Organullo,-24.395,-66.318,Plomo,Salta,Exploración avanzada,Latin Metals Inc.,1,Canadá,,,,,,,Salta,66,TRUE
230,Pancho Arias,-24.266,-65.852,Cobre,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
231,Paredes,-41.286,-70.165,Plata,Río Negro,Prospección,,,,,,,,,,Río Negro,62,TRUE
232,Parmense Viscachani,-22.405,-65.124,Plomo,Salta,Prospección,,,,,,,,,,Salta,66,TRUE
233,Peñas Negras,-28.26814,-69.47581,Cobre,La Rioja,Exploración inicial,Sendero Resources Ltd.,1,Canadá,,,,,,,La Rioja,46,TRUE
234,Picaso,-40.673,-69.579,Plata,Río Negro,Prospección,Valcheta Exploraciones,1,Argentina,,,,,,,Río Negro,62,TRUE
235,Pilahué,-40.62,-69.767,Plata,Río Negro,Prospección,,,,,,,,,,Río Negro,62,TRUE
236,"Distrito Pingüino (Sa. Blanca, Plara León, Cerro Leòn, Pinguino)",-48.01789,-68.67303,Plata,Santa Cruz,Exploración avanzada,Unico Silver Ltda.,1,Australia,-,-,-,-,-,-,Santa Cruz,78,TRUE
237,Piuquenes,-31.45390916,-70.4920555,Cobre,San Juan,Exploración inicial,Andina Copper Corp.,0.8,Canadá,Compañía Minera Piuquenes S.A.,0.2,Argentina,-,-,-,San Juan,70,TRUE
238,Plateada,-24.657,-65.783,Plomo,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
239,Pocitos I,-24.495,-67.0327777777777,Litio,Salta,Exploración avanzada,American Salars Lithium Inc.,1,Canadá,,,,,,,Salta,66,TRUE
240,Poscaya,-22.456,-65.061,Plomo,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
241,Potrerillos,-29.36999,-69.85988,Oro,San Juan,Exploración avanzada,Golden Arrow Resources Corp.,1,Canadá,,,,,,,San Juan,70,TRUE
242,Pozuelos Pastos-Grandes,-24.69897,-66.81781,Litio,Salta,Factibilidad,Ganfeng Lithium Co. Ltd.,0.67,China,Lithium Argentina,0.33,Suiza,-,-,-,Salta,66,TRUE
243,Prospecto Arizaro,-25.104,-67.756,Cobre,Salta,Exploración avanzada,,,,,,,,,,Salta,66,TRUE
244,Prospecto Las Burras,-24.333,-65.87,Cobre,Salta,Exploración inicial,Cascadero Copper Corp.,0.7,Canadá,Regberg Ltd.,0.3,,,,,Salta,66,TRUE
245,Pular (Salta Lithium),-24.401,-67.083,Litio,Salta,Exploración avanzada,,,,,,,,,,Salta,66,TRUE
246,Puna Operation (Chinchillas - Pirquitas),-22.50508,-66.25685,Plata,Jujuy,Producción,SSR Mining Inc.,1,Estados Unidos,-,-,-,-,-,-,Jujuy,38,TRUE
247,Punilla,-24.802,-64.744,Cobre,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
248,Puzzle,-40.712,-68.26,Oro,Río Negro,Exploración inicial,Valcheta Exploraciones,1,Argentina,,,,,,,Río Negro,62,TRUE
249,Recuerdo,-24.175,-66.405,Plomo,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
250,Reina Sofia Iv,-24.39558583,-67.02177048,Litio,Salta,Exploración avanzada,,,,,,,,,,Salta,66,TRUE
251,Rincón,-24.20374,-66.99009,Litio,Salta,Construcción,Argosy Minerals,1,Australia,-,-,-,-,-,-,Salta,66,TRUE
252,Rincón Oeste,-24.0480583,-67.220975,Litio,Salta,Exploración avanzada,Argentina Lithium & Energy Corp.,1,Canadá,,,,,,,Salta,66,TRUE
253,Rincón (Salta Lithium),-24.1127,-67.17265,Litio,Salta,Evaluación Económica Preliminar,Power Minerals Ltda.,1,Australia,,,,,,,Salta,66,TRUE
254,Rincones De Araya,-31.22801,-70.29946,Cobre,San Juan,Exploración inicial,Fortescue  Ltd.,1,Australia,-,-,-,-,-,-,San Juan,70,TRUE
255,Rio Blanco,-22.261,-65.015,Plomo,Salta,Prospección,,,,,,,,,,Salta,66,TRUE
256,Rio Cenicero,-31.55608,-70.47163,Cobre,San Juan,Exploración avanzada,Aldebaran Resources Inc.,1,Canadá,-,-,-,-,-,-,San Juan,70,TRUE
257,Rio Grande,-25.03228,-67.86679,Cobre,Salta,Exploración avanzada,Aldebaran Resources Inc.,1,Canadá,-,-,-,-,-,-,Salta,66,TRUE
258,Rio Grande,-24.978,-68.154,Litio,Salta,Evaluación Económica Preliminar,Noa Lithium Brines Inc.,1,Canadá,,,,,,,Salta,66,TRUE
259,Rio Grande,-25.00605,-68.14443,Litio,Salta,Exploración avanzada,Pluspetrol Resources Corp.,1,Paises Bajos,-,-,-,-,-,-,Salta,66,TRUE
260,Rio Grande Sur,-25.0688611,-68.2074111111111,Litio,Salta,Prefactibilidad,Pursuit Minerals Ltd.,1,Australia,,,,,,,Salta,66,TRUE
261,Rio Salinas,-31.35185325,-70.3773304,Cobre,San Juan,Exploración avanzada,Fortescue  Ltd.,1,Australia,-,-,-,-,-,-,San Juan,70,TRUE
262,Rosario,-24.503,-66.203,Cobre,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
263,Sal de Los Ángeles,-25.24472,-66.74833,Litio,Salta,Construcción,Revotech Asia Ltda.,0.46,China,Xizang Zhufeng Resources Co.,0.45,China,Leading Resources Global Ltd.,0.09,Reino Unido,Salta,66,TRUE
264,Sal de Oro,-25.22426,-66.96852,Litio,Catamarca - Salta,Producción,POSCO Holdings Inc.,1,Corea del Sur,-,-,-,-,-,-,Salta,66,TRUE
265,Sal de Vida,-25.34532,-66.94715,Litio,Catamarca,Construcción,Rio Tinto Group,1,Reino Unido,-,-,-,-,-,-,Catamarca,10,TRUE
266,Salar de Antofalla I Al Xiii Y Bolland Vi,-25.866666,-67.85,Litio,Catamarca,Exploración avanzada,Albemarle Corporation,1,Estados Unidos,,,,,,,Catamarca,10,TRUE
267,Salar del Rincón,-24.0575,-67.12,Litio,Salta,Construcción,Rio Tinto Group,1,Reino Unido - Australia,-,-,-,-,-,-,Salta,66,TRUE
268,Salar Tolillar,-25.03672,-67.12411,Litio,Salta,Evaluación Económica Preliminar,Alpha Lithium Corporation,1,Canadá,-,-,-,-,-,-,Salta,66,TRUE
269,Salari,-24.72490657,-67.79769983,Litio,Salta,Exploración avanzada,Eramet,1,Francia,,,,,,,Salta,66,TRUE
270,Salari 22,-24.90458899,-67.69699741,Litio,Salta,Exploración avanzada,,,,,,,,,,Salta,66,TRUE
271,San Antonio,-24.83,-66.324,Plomo,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
272,San Antonio,-25.252,-66.402,Plomo,Salta,Prospección,,,,,,,,,,Salta,66,TRUE
273,San Antonio,-22.443,-65.276,Cobre,Salta,Prospección,,,,,,,,,,Salta,66,TRUE
274,San Esteban,-24.088,-66.104,Manganeso,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
275,San Francisco,-30.71945,-69.65445,Cobre,San Juan,Exploración inicial,Turmalina Metals,1,Canadá,-,-,-,-,-,-,San Juan,70,TRUE
276,San Francisco (Vallecito),-25.894,-66.287,Cobre,Salta,Exploración inicial,Humboldt Minerals Ltd.,1,Reino Unido,,,,,,,Salta,66,TRUE
277,San Isidro,-22.737,-65.229,Cobre,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
278,San Jorge (PSJ Cobre Mendocino),-32.2448,-69.43887,Cobre,Mendoza,Prefactibilidad,Zonda Metals GmBH,0.9,Suiza,Grupo Alberdi,0.1,Argentina,-,-,-,Mendoza,50,TRUE
279,San Jorge,-26.93886,-68.12172,Litio,Catamarca,Exploración inicial,Greenwing Resources Ltd,1,Australia,,,,,,,Catamarca,10,TRUE
280,San José,-46.66848,-70.29747,Plata,Santa Cruz,Producción,Hochschild Mining Plc,0.51,Reino Unido,McEwen Mining Inc.,0.49,Canadá,,,-,Santa Cruz,78,TRUE
281,San Jose de Chañi (Potrerillos),-24.196,-65.824,Cobre,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
282,San Pedro (Cardonal),-24.341,-65.713,Plomo,Salta,Prospección,,,,,,,,,,Salta,66,TRUE
283,San Roque,-40.78585,-65.79743,Oro,Río Negro,Exploración avanzada,International Iconic Gold exploration corp,1,Canadá,-,-,-,-,-,-,Río Negro,62,TRUE
284,San Roque,-24.295,-66.039,Cobre,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
285,Santa Ines,-24.784,-68.144,Cobre,Salta,Exploración avanzada,Fuyang Mingjin New Energy Development Co,1,China,,,,,,,Salta,66,TRUE
286,Sapo y otras,-37.803474,-69.415636,Cobre,Neuquén,Exploración avanzada,,,,,,,,,,Neuquén,58,TRUE
287,Sascha,-47.808,-70.283,Oro,Santa Cruz,Exploración inicial,Pursuit Minerals Ltd.,1,Australia,,,,,,,Santa Cruz,78,TRUE
288,Saturno,-24.478,-66.174,Cobre,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
289,Señor del Milagro,-24.388,-66.022,Cobre,Salta,Prospección,,,,,,,,,,Salta,66,TRUE
290,Sierra Cuadrada,-44.609,-67.992,Uranio,Chubut,Prospección,CNEA,1,Argentina,,,,,,,Chubut,26,TRUE
291,Sierra Grande,-41.677,-65.369,Hierro,Río Negro,Reingeniería,China Metallurgical Group Corporation,0.7,China,A GRADE TRADING LTD,0.3,Estados Unidos,-,-,-,Río Negro,62,TRUE
292,Sierra Pintada,-34.9563,-68.6119,Uranio,Mendoza,Factibilidad,CNEA,1,Argentina,,,,,,,Mendoza,50,TRUE
293,Silvina,-25,-67.849,Plomo,Salta,Prospección,,,,,,,,,,Salta,66,TRUE
294,Sincera,-26.05715833,-67.9349166,Litio,Catamarca,Exploración avanzada,Antofalla Minerals S.A (Marcelo López Acuña),,,,,,,,,Catamarca,10,TRUE
295,Sofia,-46.86444,-68.84583,Uranio,Santa Cruz,Exploración inicial,Fomicruz S.E,,Argentina,Sophia Energy S.A.,,Argentina,,,,Santa Cruz,78,TRUE
296,Jama - Solaroz,-23.54439,-66.62877,Litio,Jujuy,Exploración avanzada,CNGR Advanced Material,0.9,China,Hanaq,0.1,China,,,,Jujuy,38,TRUE
297,Sor Rafaela,-24.333,-66.071,Cobre,Salta,Prospección,,,,,,,,,,Salta,66,TRUE
298,Soroche y Vulcano,-25.129,-66.746,Plomo,Salta,Prospección,,,,,,,,,,Salta,66,TRUE
299,Supay,-40.191,-68.08,Plata,Río Negro,Prospección,,,,,,,,,,Río Negro,62,TRUE
300,Suyai,-42.89718,-71.21956,Oro,Chubut,Factibilidad,Pan American Silver Corp,0.6,Canadá,CAM,0.4,Argentina,-,-,-,Chubut,26,TRUE
301,Taca Sal IV,-24.652159,-67.78915982,Litio,Salta,Exploración avanzada,,,,,,,,,,Salta,66,TRUE
302,Taca Taca,-24.57255,-67.73582,Cobre,Salta,Factibilidad,First Quantum Minerals Ltd.,1,Canadá,-,-,-,-,-,-,Salta,66,TRUE
303,Taguas,-29.20134,-69.87465,Oro,San Juan,Evaluación Económica Preliminar,Orvana Minerals Corp,1,Canadá,-,-,-,-,-,-,San Juan,70,TRUE
304,Tamariscos,-41.517,-65.76,Plata,Río Negro,Exploración inicial,Patagonia Gold,1,Canadá,,,,,,,Río Negro,62,TRUE
305,Tanque Negro,-40.832,-68.414,Plata,Río Negro,Prospección,Southern Copper Corp.,1,Estados Unidos,,,,,,,Río Negro,62,TRUE
306,Taquetren,-41.68321,-69.60746,Plata,Río Negro,Prospección,Fitzroy Minerals Inc.,1,Canadá,,,,,,,Río Negro,62,TRUE
307,Taron Cesium,-24.65,-66.5,Cesio,Salta,Evaluación Económica Preliminar,Cascadero Copper Corp.,1,Canadá,,,,,,,Salta,66,TRUE
308,Tebenquicho Chico,-25.3352805,-67.53559,Oro,Catamarca,Exploración avanzada,Elevado Gold,1,Australia,,,,,,,Catamarca,10,TRUE
309,Teresita,-41.162,-67.912,Plata,Río Negro,Exploración inicial,Rio de Oro Exploraciones,1,Argentina,,,,,,,Río Negro,62,TRUE
310,Tolar Chico,-24.866,-67.083,Plata,Salta,Prospección,,,,,,,,,,Salta,66,TRUE
311,Tornado-Huracán,-46.78715,-70.30633,Oro,Santa Cruz,Exploración inicial,Patagonia Gold,1,Canadá,,,,,,,Santa Cruz,78,TRUE
312,Toruel,-41.006,-67.88,Plata,Río Negro,Exploración inicial,MIM Argentina Exploraciones S.A,1,Argentina,,,,,,,Río Negro,62,TRUE
313,Tres Quebradas,-27.36413,-68.66513,Litio,Catamarca,Producción,Zijin Mining Group Ltd.,1,China,-,-,-,-,-,-,Catamarca,10,TRUE
314,Trila Lea,-26.05864,-67.93053,Litio,Catamarca,Exploración avanzada,Triangle Lithium Argentina S.A,0.8,Argentina,Lithium Energi Exploration Inc,0.2,Canadá,,,,Catamarca,10,TRUE
315,Unchimé,-24.685,-64.819,Hierro,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
316,Valcheta,-40.713,-66.495,Cobre,Río Negro,Exploración inicial,Trendix Mining SRL,1,Argentina,,,,,,,Río Negro,62,TRUE
317,Valle Ancho,-27.583333,-68.833333,Oro,Catamarca,Exploración avanzada,NGEx Minerals Ltd.,1,Canadá,-,-,-,-,-,-,Catamarca,10,TRUE
318,Valle de Chita,-30.55137,-69.52132,Cobre,San Juan,Exploración avanzada,South32 Ltd.,0.501,Australia,Minsud Resources Corp.,0.499,Canadá,-,-,-,San Juan,70,TRUE
319,Vampiro (San Antonio),-24.982,-64.878,Cobre,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
320,Vega de Arizaro,-24.51189488,-67.90665183,Litio,Salta,Exploración avanzada,,,,,,,,,,Salta,66,TRUE
321,Veladero,-29.40026,-69.91594,Oro,San Juan,Producción,Barrick Mining Corporation,0.5,Canadá,Shandong Gold Mining Co. Ltd.,0.5,China,-,,-,San Juan,70,TRUE
322,Veta Grande,-24.268,-66.473,Antimonio,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
323,Victoria,-24.269,-66.464,Plomo,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
324,Victoria (La Revancha),-24.877,-65.335,Plomo,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
325,Vil Achay,-27.53,-67.265,Estaño,Catamarca,Exploración avanzada,Alto Grande S.A.,1,Argentina,,,,,,,Catamarca,10,TRUE
326,Virgen Del Valle Litio,-25.4394,-66.97779722,Litio,Catamarca,Prospección,Minera Santa Rita S.R.L.,1,Argentina,-,-,-,-,-,-,Catamarca,10,TRUE
327,Virginia,-47.46658,-69.94496,Plata,Santa Cruz,Exploración avanzada,Mirasol Resources Ltda.,1,Canadá,-,-,,-,-,-,Santa Cruz,78,TRUE
328,Vista Alegre,-40.17055556,-69.68,Plata,Río Negro,Prospección,,,,,,,,,,Río Negro,62,TRUE
329,Vizcacheral,-24.129,-65.882,Cobre,Salta,Exploración inicial,,,,,,,,,,Salta,66,TRUE
330,Yanso,-29.9325528,-68.5414583333333,Oro,San Juan,Exploración avanzada,Golden Arrow Resources Corp.,1,Canadá,,,,,,,San Juan,70,TRUE
331,Zancarron,-29.62237517,-69.9355613,Oro,San Juan,Exploración inicial,Barrick Mining Corporation,1,Canadá,-,-,-,-,-,-,San Juan,70,TRUE
